ID;Condition;Day 1 Date;Day 1 Intended Bedtime;Day 1 Actual Bedtime;Day 1 Bedtime Difference Time (sec);Day 1 Nudge Time;Day 1 Rise Time;Day 1 In Bed Time (sec);Day 1 Had Rise Reason;Day 1 Fitness;Day 1 Adherence Importance;Day 2 Date;Day 2 Intended Bedtime;Day 2 Actual Bedtime;Day 2 Bedtime Difference Time (sec);Day 2 Nudge Time;Day 2 Rise Time;Day 2 In Bed Time (sec);Day 2 Had Rise Reason;Day 2 Fitness;Day 2 Adherence Importance;Day 3 Date;Day 3 Intended Bedtime;Day 3 Actual Bedtime;Day 3 Bedtime Difference Time (sec);Day 3 Nudge Time;Day 3 Rise Time;Day 3 In Bed Time (sec);Day 3 Had Rise Reason;Day 3 Fitness;Day 3 Adherence Importance;Day 4 Date;Day 4 Intended Bedtime;Day 4 Actual Bedtime;Day 4 Bedtime Difference Time (sec);Day 4 Nudge Time;Day 4 Rise Time;Day 4 In Bed Time (sec);Day 4 Had Rise Reason;Day 4 Fitness;Day 4 Adherence Importance;Day 5 Date;Day 5 Intended Bedtime;Day 5 Actual Bedtime;Day 5 Bedtime Difference Time (sec);Day 5 Nudge Time;Day 5 Rise Time;Day 5 In Bed Time (sec);Day 5 Had Rise Reason;Day 5 Fitness;Day 5 Adherence Importance;Day 6 Date;Day 6 Intended Bedtime;Day 6 Actual Bedtime;Day 6 Bedtime Difference Time (sec);Day 6 Nudge Time;Day 6 Rise Time;Day 6 In Bed Time (sec);Day 6 Had Rise Reason;Day 6 Fitness;Day 6 Adherence Importance;Day 7 Date;Day 7 Intended Bedtime;Day 7 Actual Bedtime;Day 7 Bedtime Difference Time (sec);Day 7 Nudge Time;Day 7 Rise Time;Day 7 In Bed Time (sec);Day 7 Had Rise Reason;Day 7 Fitness;Day 7 Adherence Importance;Day 8 Date;Day 8 Intended Bedtime;Day 8 Actual Bedtime;Day 8 Bedtime Difference Time (sec);Day 8 Nudge Time;Day 8 Rise Time;Day 8 In Bed Time (sec);Day 8 Had Rise Reason;Day 8 Fitness;Day 8 Adherence Importance;Day 9 Date;Day 9 Intended Bedtime;Day 9 Actual Bedtime;Day 9 Bedtime Difference Time (sec);Day 9 Nudge Time;Day 9 Rise Time;Day 9 In Bed Time (sec);Day 9 Had Rise Reason;Day 9 Fitness;Day 9 Adherence Importance;Day 10 Date;Day 10 Intended Bedtime;Day 10 Actual Bedtime;Day 10 Bedtime Difference Time (sec);Day 10 Nudge Time;Day 10 Rise Time;Day 10 In Bed Time (sec);Day 10 Had Rise Reason;Day 10 Fitness;Day 10 Adherence Importance;Day 11 Date;Day 11 Intended Bedtime;Day 11 Actual Bedtime;Day 11 Bedtime Difference Time (sec);Day 11 Nudge Time;Day 11 Rise Time;Day 11 In Bed Time (sec);Day 11 Had Rise Reason;Day 11 Fitness;Day 11 Adherence Importance;Day 12 Date;Day 12 Intended Bedtime;Day 12 Actual Bedtime;Day 12 Bedtime Difference Time (sec);Day 12 Nudge Time;Day 12 Rise Time;Day 12 In Bed Time (sec);Day 12 Had Rise Reason;Day 12 Fitness;Day 12 Adherence Importance
13;1;12/04/2015;22:15;22:24;540.0;22:15;08:30;28218.0;YES;69;77;13/04/2015;22:45;23:07;1320.0;22:45;06:15;25649.0;YES;70;85;14/04/2015;23:15;23:19;240.0;23:00;06:15;25816.0;YES;60;59;15/04/2015;22:45;23:01;960.0;22:45;06:30;26934.0;YES;38;71;16/04/2015;22:30;23:02;1920.0;22:30;06:30;26854.0;YES;68;77;17/04/2015;23:00;23:23;1380.0;22:45;06:30;NA;NO;46;43;18/04/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;19/04/2015;01:00;22:51;-7740.0;22:30;08:30;26582.0;NO;56;48;20/04/2015;22:15;22:46;1860.0;22:15;06:15;28422.0;YES;43;75;21/04/2015;22:55;22:55;0.0;22:55;06:40;26343.0;YES;66;82;22/04/2015;22:00;23:06;3960.0;22:30;06:15;26323.0;NO;0;0;23/04/2015;22:55;22:52;-180.0;22:55;06:25;31022.0;NO;77;38
14;1;12/04/2015;23:45;00:32;2820.0;23:45;12:00;23879.0;YES;14;29;13/04/2015;00:00;01:10;4200.0;23:45;07:10;21562.0;NO;0;0;14/04/2015;23:45;00:38;3180.0;23:45;07:10;21974.0;YES;19;34;15/04/2015;23:00;00:51;6660.0;23:45;06:45;17928.0;NO;0;0;16/04/2015;23:00;00:25;5100.0;23:45;05:50;24300.0;YES;11;36;17/04/2015;01:00;NA;NA;03:00;07:10;NA;NO;0;0;18/04/2015;01:00;03:35;9300.0;05:00;10:00;NA;NO;51;12;19/04/2015;NA;NA;NA;23:45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21/04/2015;00:00;01:10;4200.0;23:45;07:10;NA;YES;14;20;22/04/2015;NA;NA;NA;23:45;NA;NA;NA;NA;NA;23/04/2015;00:00;01:48;6480.0;23:45;06:50;NA;YES;12;62
15;1;12/04/2015;NA;NA;NA;00:00;NA;NA;NA;NA;NA;13/04/2015;23:45;00:11;1560.0;23:45;07:10;25139.0;NO;0;0;14/04/2015;23:45;00:22;2220.0;23:45;07:10;24459.0;NO;86;0;15/04/2015;03:00;00:03;-10620.0;00:15;07:10;32190.0;NO;78;35;16/04/2015;23:45;00:10;1500.0;23:45;09:00;25167.0;YES;93;48;17/04/2015;23:45;00:16;1860.0;23:45;07:10;32621.0;NO;87;0;18/04/2015;01:00;01:50;3000.0;01:00;09:20;27588.0;NO;92;25;19/04/2015;00:00;00:11;660.0;00:00;09:30;28992.0;YES;90;49;20/04/2015;23:45;00:01;960.0;23:45;08:15;NA;YES;83;50;21/04/2015;NA;NA;NA;NA;NA;NA;NO;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23/04/2015;03:00;00:20;-9600.0;23:55;08:15;28454.0;NO;87;0
16;0;12/04/2015;22:30;23:04;2040.0;NA;10:00;25856.0;YES;61;70;13/04/2015;23:00;23:05;300.0;NA;06:15;25784.0;YES;65;61;14/04/2015;23:00;23:21;1260.0;NA;06:15;32936.0;NO;53;39;15/04/2015;23:00;21:55;-3900.0;NA;08:30;29968.0;YES;62;64;16/04/2015;23:30;23:37;420.0;NA;06:15;36449.0;NO;68;40;17/04/2015;23:00;23:35;2100.0;NA;09:45;78853.0;NO;46;38;18/04/2015;22:30;23:51;4860.0;NA;21:30;32887.0;YES;22;45;19/04/2015;22:30;23:15;2700.0;NA;09:00;29679.0;YES;43;65;20/04/2015;22:30;23:00;1800.0;NA;07:30;26072.0;YES;49;56;21/04/2015;23:00;23:48;2880.0;NA;06:15;32210.0;YES;54;66;22/04/2015;22:45;22:22;-1380.0;NA;08:45;28346.0;YES;53;75;23/04/2015;23:30;00:15;2700.0;NA;06:15;30594.0;YES;54;56
17;1;12/04/2015;23:00;23:43;2580.0;23:59;08:30;27080.0;YES;28;81;13/04/2015;23:00;NA;NA;NA;07:15;NA;YES;47;77;14/04/2015;23:00;00:05;3900.0;23:33;07:15;28463.0;YES;52;61;15/04/2015;22:59;23:15;960.0;22:59;08:00;28794.0;YES;62;68;16/04/2015;23:30;00:14;2640.0;23:28;07:15;25246.0;NO;0;0;17/04/2015;23:59;00:13;840.0;23:59;07:15;29790.0;NO;67;26;18/04/2015;23:30;23:30;0.0;23:29;08:30;32386.0;NO;63;47;19/04/2015;23:00;23:06;360.0;22:50;08:30;29283.0;NO;0;0;20/04/2015;23:00;23:08;480.0;23:31;07:15;29190.0;YES;71;76;21/04/2015;23:00;00:09;4140.0;23:52;07:15;29149.0;NO;71;72;22/04/2015;23:15;23:26;660.0;NA;08:15;NA;YES;68;63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;1;31/05/2015;NA;NA;NA;22:30;NA;NA;NA;NA;NA;01/06/2015;23:30;00:01;1860.0;22:30;11:15;28704.0;NO;66;14;02/06/2015;23:00;00:19;4740.0;23:00;08:00;22528.0;YES;63;67;03/06/2015;22:30;00:10;6000.0;23:30;06:35;23683.0;YES;55;63;04/06/2015;23:00;23:15;900.0;23:00;06:45;27874.0;YES;72;38;05/06/2015;00:00;23:48;-720.0;23:00;07:00;34862.0;NO;84;20;06/06/2015;00:00;00:14;840.0;23:30;09:30;45908.0;NO;74;28;07/06/2015;23:30;00:01;1860.0;23:30;13:00;25995.0;YES;42;59;08/06/2015;23:00;22:53;-420.0;22:30;07:15;28288.0;YES;67;71;09/06/2015;23:30;NA;NA;23:30;06:45;NA;YES;64;59;10/06/2015;23:30;23:07;-1380.0;23:30;06:45;28342.0;YES;72;20;11/06/2015;23:30;23:13;-1020.0;23:00;07:00;27096.0;YES;71;35
19;0;31/05/2015;23:30;00:43;4380.0;NA;09:00;NA;YES;36;66;01/06/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;02/06/2015;23:30;23:58;1680.0;NA;08:30;27095.0;NO;0;0;03/06/2015;00:00;NA;NA;NA;07:30;NA;YES;41;63;04/06/2015;23:30;00:08;2280.0;NA;07:30;31909.0;YES;36;72;05/06/2015;00:00;23:45;-900.0;NA;09:00;NA;NO;45;61;06/06/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;07/06/2015;23:30;00:11;2460.0;NA;09:00;29926.0;YES;61;65;08/06/2015;23:30;23:51;1260.0;NA;08:30;NA;YES;54;57;09/06/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;10/06/2015;00:00;00:14;840.0;NA;08:00;NA;YES;95;53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;1;31/05/2015;23:00;22:31;-1740.0;23:00;08:50;41296.0;NO;45;0;01/06/2015;23:30;23:47;1020.0;23:29;10:00;29531.0;NO;0;0;02/06/2015;23:00;23:18;1080.0;23:00;08:00;34862.0;NO;38;0;03/06/2015;23:30;23:38;480.0;23:30;09:00;28914.0;YES;75;49;04/06/2015;23:00;23:14;840.0;23:00;07:40;27941.0;YES;48;89;05/06/2015;23:30;23:54;1440.0;23:30;07:00;25525.0;NO;82;80;06/06/2015;23:30;04:06;16560.0;23:30;07:00;21197.0;NO;89;51;07/06/2015;23:00;00:24;5040.0;23:01;10:00;24614.0;YES;81;70;08/06/2015;23:30;00:10;2400.0;23:40;07:15;27572.0;NO;60;73;09/06/2015;23:40;00:03;1380.0;23:40;07:50;35804.0;NO;0;0;10/06/2015;23:30;00:28;3480.0;23:28;10:00;24110.0;NO;0;0;11/06/2015;23:00;00:26;5160.0;23:00;07:10;22723.0;YES;55;88
22;1;31/05/2015;22:30;22:44;840.0;22:30;10:00;38714.0;NO;0;0;01/06/2015;22:30;22:37;420.0;22:30;09:30;26546.0;YES;77;80;02/06/2015;22:30;22:35;300.0;22:30;06:00;33842.0;NO;69;0;03/06/2015;22:30;22:18;-720.0;22:45;08:00;36989.0;YES;68;62;04/06/2015;22:30;22:27;-180.0;22:30;08:35;27150.0;YES;86;89;05/06/2015;00:00;22:29;-5460.0;23:30;06:00;36005.0;NO;0;0;06/06/2015;03:30;03:52;1320.0;03:30;08:30;22035.0;NO;85;10;07/06/2015;22:00;22:06;360.0;22:30;10:00;32910.0;NO;23;0;08/06/2015;22:30;23:04;2040.0;22:30;07:15;24932.0;YES;47;79;09/06/2015;22:30;22:31;60.0;22:30;06:00;33191.0;YES;46;61;10/06/2015;22:45;22:32;-780.0;22:30;07:45;40322.0;NO;76;35;11/06/2015;23:00;23:55;3300.0;23:00;09:45;32656.0;NO;81;31
23;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;0;31/05/2015;22:00;NA;NA;NA;10:15;NA;YES;6;75;01/06/2015;22:30;22:26;-240.0;NA;07:40;33202.0;NO;0;0;02/06/2015;22:30;21:30;-3600.0;NA;07:40;41342.0;YES;64;33;03/06/2015;22:30;NA;NA;NA;09:00;NA;YES;73;25;04/06/2015;22:30;00:08;5880.0;NA;07:40;NA;NO;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;1;31/05/2015;23:30;23:37;420.0;23:25;08:00;NA;YES;12;66;01/06/2015;NA;NA;NA;23:45;NA;NA;NA;NA;NA;02/06/2015;22:45;00:30;6300.0;22:15;09:30;31445.0;NO;0;0;03/06/2015;23:00;00:13;4380.0;23:20;09:15;23201.0;YES;63;70;04/06/2015;22:45;00:20;5700.0;22:15;06:40;23968.0;YES;44;24;05/06/2015;22:45;23:43;3480.0;21:45;07:00;23515.0;YES;78;83;06/06/2015;01:00;03:38;9480.0;02:30;06:15;28587.0;NO;47;10;07/06/2015;23:00;00:32;5520.0;22:30;11:35;23237.0;YES;8;49;08/06/2015;23:00;23:27;1620.0;22:45;07:00;34339.0;YES;51;34;09/06/2015;23:00;01:33;9180.0;23:45;09:00;28596.0;YES;50;15;10/06/2015;23:00;00:25;5100.0;23:45;09:30;23692.0;YES;62;80;11/06/2015;00:00;NA;NA;23:45;07:00;NA;YES;59;59
28;0;12/04/2015;00:00;00:18;1080.0;NA;10:30;34894.0;YES;75;62;13/04/2015;23:00;00:35;5700.0;NA;10:00;33895.0;NO;0;0;14/04/2015;23:30;23:43;780.0;NA;10:00;35192.0;NO;0;0;15/04/2015;23:30;00:19;2940.0;NA;09:30;24950.0;YES;55;86;16/04/2015;23:30;00:24;3240.0;NA;07:15;33624.0;NO;0;0;17/04/2015;23:30;00:08;2280.0;NA;09:45;40895.0;NO;0;0;18/04/2015;00:00;00:12;720.0;NA;11:30;37022.0;NO;100;19;19/04/2015;23:30;00:15;2700.0;NA;10:30;32690.0;YES;59;62;20/04/2015;23:30;23:53;1380.0;NA;09:20;36406.0;NO;0;0;21/04/2015;23:30;23:33;180.0;NA;10:00;24994.0;YES;55;90;22/04/2015;23:30;00:09;2340.0;NA;06:30;25816.0;NO;0;0;23/04/2015;23:30;23:54;1440.0;NA;07:20;30935.0;YES;38;64
29;0;31/05/2015;NA;NA;NA;NA;NA;NA;NO;0;0;01/06/2015;23:30;22:45;-2700.0;NA;06:30;27869.0;YES;37;73;02/06/2015;23:00;23:46;2760.0;NA;06:30;24214.0;YES;77;67;03/06/2015;23:45;00:18;1980.0;NA;06:30;22271.0;YES;69;71;04/06/2015;01:00;NA;NA;NA;06:30;NA;YES;44;64;05/06/2015;00:00;00:42;2520.0;NA;06:30;NA;NO;62;43;06/06/2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;07/06/2015;23:30;NA;NA;NA;09:15;NA;YES;68;80;08/06/2015;23:30;00:07;2220.0;NA;06:30;26558.0;YES;40;89;09/06/2015;23:30;00:13;2580.0;NA;07:30;22577.0;NO;72;0;10/06/2015;23:45;23:37;-480.0;NA;06:30;NA;NO;50;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
